"species","id","datapoints","duration","timelag","moves","stepLength"
"Bungarus candidus","BUCA001",116,107.500694444444,"22.43 ±2.26",34,"31.01 ±8.24"
"Bungarus candidus","BUCA002",230,222.770833333333,"23.35 ±1.04",64,"22.05 ±3.89"
"Bungarus candidus","BUCA007",130,144.479166666667,"26.88 ±2.56",25,"23.74 ±6.25"
"Bungarus candidus","BUCA012",144,161.975694444444,"27.18 ±2.8",25,"26.08 ±8.4"
"Bungarus candidus","BUCA014",77,80.6576388888889,"25.47 ±1.49",19,"22.06 ±6.25"
"Bungarus candidus","BUCA016",112,116.194444444444,"25.12 ±1.59",17,"6.14 ±1.94"
"Bungarus candidus","BUCA022",51,56.6770833333333,"27.2 ±3.25",37,"37.7 ±9.43"
"Bungarus candidus","BUCA027",32,36.7881944444444,"28.48 ±4.52",9,"20.23 ±9.37"
"Bungarus candidus","BUCA028",117,106.534722222222,"22.04 ±1.21",43,"17.87 ±3.82"
"Bungarus candidus","BUCA032",99,107.657638888889,"26.37 ±1.77",27,"61.47 ±17.3"
"Bungarus candidus","BUCA033",179,187.491666666667,"25.28 ±1",34,"15.86 ±3.14"
"Bungarus candidus","BUCA035",141,144.826388888889,"24.83 ±0.82",19,"20.22 ±5.08"
"Bungarus candidus","BUCA036",54,68.7208333333333,"31.12 ±5",18,"55.67 ±17.75"
"Bungarus fasciatus","BUFA001",475,829,"41.97 ±3.43",163,"102.75 ±9.88"
"Bungarus fasciatus","BUFA003",217,260,"28.89 ±1.12",50,"26.74 ±4.95"
"Bungarus fasciatus","BUFA004",182,212,"28.11 ±1.2",47,"33.71 ±5.58"
"Ophiophagus hannah","OPHA002",667,223.751157407407,"8.06 ±0.7",359,"476.65 ±44.41"
"Ophiophagus hannah","OPHA004",122,46.7465277777778,"9.27 ±0.81",94,"665.03 ±103.34"
"Ophiophagus hannah","OPHA005",666,180.684537037037,"6.52 ±0.29",305,"405.35 ±40.37"
"Ophiophagus hannah","OPHA006",2173,723.053969907407,"7.99 ±0.17",553,"71.88 ±4.23"
"Ophiophagus hannah","OPHA007",969,320.660868055556,"7.95 ±0.29",225,"72.24 ±6.71"
"Ophiophagus hannah","OPHA010",432,430.013194444444,"23.95 ±15.56",83,"52.16 ±10.75"
"Ophiophagus hannah","OPHA013",1497,561.190972222222,"9 ±0.17",390,"48.35 ±3.31"
"Ophiophagus hannah","OPHA014",248,67.8395833333333,"6.59 ±0.24",48,"20.68 ±3.67"
"Ophiophagus hannah","OPHA015",1944,680.129861111111,"8.4 ±0.18",595,"71.05 ±4.74"
"Ophiophagus hannah","OPHA017",2245,774.969444444444,"8.29 ±0.11",747,"31.84 ±1.96"
"Ophiophagus hannah","OPHA018",3122,1176.09583333333,"9.04 ±0.28",1018,"75.72 ±4.06"
"Ophiophagus hannah","OPHA019",890,311.790277777778,"8.42 ±0.21",231,"43.22 ±4.97"
"Ophiophagus hannah","OPHA024",466,173.172916666667,"8.94 ±0.27",217,"100.56 ±9.13"
"Ophiophagus hannah","OPHA025",435,164.984027777778,"9.12 ±0.36",203,"69.62 ±7.79"
"Ophiophagus hannah","OPHA026",134,68.7284722222222,"12.4 ±0.72",68,"107.46 ±20.53"
"Ophiophagus hannah","OPHA027",542,198.625,"8.81 ±0.23",126,"22.96 ±2.98"
"Ophiophagus hannah","OPHA034",317,124.022222222222,"9.42 ±0.42",52,"37.75 ±7.35"
"Ophiophagus hannah","OPHA054",1381,520.623611111111,"9.05 ±0.16",383,"57.41 ±5.34"
"Ophiophagus hannah","OPHA055",722,353.619444444444,"11.77 ±0.4",247,"73.12 ±6.93"
"Ophiophagus hannah","OPHA056",428,162.072222222222,"9.11 ±0.28",140,"48.96 ±5.6"
"Ophiophagus hannah","OPHA058",672,268.895138888889,"9.62 ±0.25",254,"53.71 ±5.58"
"Ophiophagus hannah","OPHA059",995,345.038194444444,"8.33 ±0.17",213,"39.42 ±4.28"
"Ophiophagus hannah","OPHA086",623,241.015277777778,"9.3 ±0.28",196,"46.65 ±4.59"
"Ophiophagus hannah","OPHA096",291,132.916666666667,"11 ±0.41",55,"50.99 ±8.88"
"Ophiophagus hannah","OPHA099",276,122.015277777778,"10.65 ±0.37",30,"46.22 ±13.52"
"Python bivittatus","PYBI021",631,662.03125,"25.22 ±0.33",216,"31.79 ±3.05"
"Python bivittatus","PYBI022",438,485.897222222222,"26.69 ±1.11",154,"29.44 ±2.98"
"Python bivittatus","PYBI028",176,187.804166666667,"25.76 ±0.78",69,"70.05 ±12.29"
"Python bivittatus","PYBI029",486,514.916666666667,"25.48 ±0.83",237,"56.23 ±4.89"
"Python bivittatus","PYBI033",41,41.0763888888889,"24.65 ±0.6",22,"36.38 ±7.88"
"Python bivittatus","PYBI055",205,207.126388888889,"24.37 ±0.33",26,"15.67 ±5.23"
"Python bivittatus","PYBI060",191,190.938194444444,"24.12 ±0.25",63,"65.09 ±9.91"
